comp,units,core_units,core_items,core_traits,main_carry,main_tank,games,avg_place,top4_rate,win_rate,stability_score
Aatrox+Akali+Blitzcrank+Fiora+Graves+Jhin+Morgana+Nunu+Shen+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Graves,Jhin,Morgana,Nunu,Shen,Vex","Aatrox,Akali,Blitzcrank,Fiora,Graves,Jhin,Morgana,Nunu,Shen,Vex","Item_GuinsoosRageblade,Item_FrozenHeart,Item_ThiefsGloves,Item_Quicksilver,Item_MadredsBloodrazor,Item_SteraksGage,Item_AdaptiveHelm,Item_Deathblade,Item_WarmogsArmor,Item_PowerGauntlet,Item_RapidFireCannon,Item_EmptyBag","BlitzcrankUniqueTrait:1,DRX:1,FioraUniqueTrait:1,GravesTrait:1,JhinUniqueTrait:1,MeleeTrait:1,MorganaUniqueTrait:1,ResistTank:1,ShenUniqueTrait:1,ShieldTank:1,SpaceGroove:1,VexUniqueTrait:1",Graves,Nunu,51,1.92,94.12,50.98,182.16
Aatrox+Blitzcrank+Jax+Jhin+Maokai+Nunu+Rhaast+Shen+TahmKench+Xayah,"Aatrox,Blitzcrank,Jax,Jhin,Maokai,Nunu,Rhaast,Shen,TahmKench,Xayah","Aatrox,Blitzcrank,Jax,Jhin,Maokai,Nunu,Rhaast,Shen,TahmKench,Xayah","Item_RunaansHurricane,Item_WarmogsArmor,Item_FrozenHeart,Item_StargazerEmblemItem,Item_RapidFireCannon,Item_Deathblade,Item_MadredsBloodrazor,Item_InfinityEdge,Item_Crownguard,Item_Redemption,Item_PowerGauntlet,Item_GargoyleStoneplate","BlitzcrankUniqueTrait:1,DRX:1,RhaastUniqueTrait:1,ShenUniqueTrait:1,SpaceGroove:1,TahmKenchUniqueTrait:1,HPTank:1,JhinUniqueTrait:1,RangedTrait:1,ShieldTank:1,ResistTank:1,Stargazer_Serpent:1",Xayah,TahmKench,21,1.71,100.0,42.86,181.72
Blitzcrank+Gwen+Morgana+Nami+Nasus+Ornn+Pantheon+Riven+Shen+TahmKench,"Blitzcrank,Gwen,Morgana,Nami,Nasus,Ornn,Pantheon,Riven,Shen,TahmKench","Blitzcrank,Gwen,Morgana,Nami,Nasus,Ornn,Pantheon,Riven,Shen,TahmKench","Item_JeweledGauntlet,Item_GargoyleStoneplate,Item_SpearOfShojin,Item_WarmogsArmor,Item_Leviathan,Item_StatikkShiv,Item_Crownguard,Item_Morellonomicon,Item_AdaptiveHelm,Item_SpaceGrooveEmblemItem,Item_RapidFireCannon,Item_ThiefsGloves","APTrait:1,BlitzcrankUniqueTrait:1,HPTank:1,MorganaUniqueTrait:1,ResistTank:1,ShenUniqueTrait:1,ShieldTank:1,TahmKenchUniqueTrait:1,AssassinTrait:1,Timebreaker:1,SpaceGroove:3,SpaceGroove:4",Nami,Ornn,35,1.89,97.14,42.86,179.25
AurelionSol+Blitzcrank+Fiora+Galio+Karma+Mordekaiser+TahmKench+Urgot,"AurelionSol,Blitzcrank,Fiora,Galio,Karma,Mordekaiser,TahmKench,Urgot","AurelionSol,Blitzcrank,Fiora,Galio,Karma,Mordekaiser,TahmKench,Urgot","Item_GargoyleStoneplate,Item_JeweledGauntlet,Item_StatikkShiv,Item_WarmogsArmor,Item_SteraksGage,Item_RabadonsDeathcap,Item_MadredsBloodrazor,Item_Morellonomicon,Item_GuardianAngel,Item_AdaptiveHelm,Item_ThiefsGloves,Item_RapidFireCannon","BlitzcrankUniqueTrait:1,SpaceGroove:1,FioraUniqueTrait:1,HPTank:1,DarkStar:1,ManaTrait:1,MeleeTrait:1,ShieldTank:1,TahmKenchUniqueTrait:1,FlexTrait:1,Mecha:3,Mecha:2",AurelionSol,Galio,37,2.0,89.19,59.46,179.06
Aatrox+Akali+Blitzcrank+Fiora+Graves+Morgana+Nunu+Shen+Sona+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Graves,Morgana,Nunu,Shen,Sona,Vex","Aatrox,Akali,Blitzcrank,Fiora,Graves,Morgana,Nunu,Shen,Sona,Vex","Item_ThiefsGloves,Item_GuinsoosRageblade,Item_SteraksGage,Item_FrozenHeart,Item_RapidFireCannon,Item_Quicksilver,Item_PowerGauntlet,Item_GargoyleStoneplate,Item_WarmogsArmor,Item_EmptyBag,Item_MadredsBloodrazor,Item_GuardianAngel","GravesTrait:1,BlitzcrankUniqueTrait:1,DRX:1,FioraUniqueTrait:1,MeleeTrait:1,MorganaUniqueTrait:1,ResistTank:1,ShenUniqueTrait:1,ShieldTank:1,SonaUniqueTrait:1,SpaceGroove:1,VexUniqueTrait:1",Vex,Nunu,26,1.88,96.15,46.15,178.52
Aatrox+Akali+Blitzcrank+Fiora+Graves+Nunu+Rhaast+Shen+Sona+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Graves,Nunu,Rhaast,Shen,Sona,Vex","Aatrox,Akali,Blitzcrank,Fiora,Graves,Nunu,Rhaast,Shen,Sona,Vex","Item_GuinsoosRageblade,Item_FrozenHeart,Item_ThiefsGloves,Item_EmptyBag,Item_Quicksilver,Item_SteraksGage,Item_Deathblade,Item_RapidFireCannon,Item_MadredsBloodrazor,Item_PowerGauntlet,Item_WarmogsArmor,Item_AdaptiveHelm","BlitzcrankUniqueTrait:1,DRX:1,FioraUniqueTrait:1,GravesTrait:1,RhaastUniqueTrait:1,ShenUniqueTrait:1,SonaUniqueTrait:1,SpaceGroove:1,VexUniqueTrait:1,MeleeTrait:1,ResistTank:1,ShieldTank:1",Graves,Nunu,38,2.0,92.11,52.63,178.33
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+Rhaast+Sona+Vex,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Rhaast,Sona,Vex","Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Rhaast,Sona,Vex","Item_JeweledGauntlet,Item_GuinsoosRageblade,Item_StatikkShiv,Item_FrozenHeart,Item_GargoyleStoneplate,Item_MadredsBloodrazor,Item_WarmogsArmor,Item_RabadonsDeathcap,Item_ThiefsGloves,Item_Morellonomicon,Item_SpearOfShojin,Item_AdaptiveHelm","BlitzcrankUniqueTrait:1,DarkStar:1,ManaTrait:1,RhaastUniqueTrait:1,SonaUniqueTrait:1,SpaceGroove:1,VexUniqueTrait:1,ShieldTank:2,FlexTrait:1,FlexTrait:2,ShieldTank:3,FlexTrait:3",Vex,Nunu,84,2.21,90.48,44.05,177.72
Aatrox+Bard+Jax+Jhin+Maokai+Mordekaiser+Nunu+Rhaast+TahmKench+Xayah,"Aatrox,Bard,Jax,Jhin,Maokai,Mordekaiser,Nunu,Rhaast,TahmKench,Xayah","Aatrox,Bard,Jax,Jhin,Maokai,Mordekaiser,Nunu,Rhaast,TahmKench,Xayah","Item_FrozenHeart,Item_RunaansHurricane,Item_WarmogsArmor,Item_InfinityEdge,Item_RapidFireCannon,Item_StargazerEmblemItem,Item_Crownguard,Item_PowerGauntlet,Item_Deathblade,Item_Redemption,Item_AdaptiveHelm,Item_NightHarvester","DRX:1,DarkStar:1,HPTank:1,JhinUniqueTrait:1,ManaTrait:1,ResistTank:1,RhaastUniqueTrait:1,ShieldTank:1,TahmKenchUniqueTrait:1,RangedTrait:1,Stargazer_Serpent:1,Stargazer_Wolf:1",Xayah,TahmKench,24,1.96,95.83,41.67,175.27
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Morgana+Nunu+Sona+Vex,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Morgana,Nunu,Sona,Vex","Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Morgana,Nunu,Sona,Vex","Item_JeweledGauntlet,Item_GuinsoosRageblade,Item_StatikkShiv,Item_MadredsBloodrazor,Item_FrozenHeart,Item_WarmogsArmor,Item_ThiefsGloves,Item_GargoyleStoneplate,Item_AdaptiveHelm,Item_Morellonomicon,Item_RabadonsDeathcap,Item_SpearOfShojin","BlitzcrankUniqueTrait:1,DarkStar:1,ManaTrait:1,MorganaUniqueTrait:1,ShieldTank:2,SonaUniqueTrait:1,SpaceGroove:1,VexUniqueTrait:1,FlexTrait:1,FlexTrait:2,PsyOps:1",Vex,Nunu,71,2.21,92.96,38.03,175.02
Blitzcrank+Gwen+Jhin+Nami+Nasus+Ornn+Samira+Shen+Teemo,"Blitzcrank,Gwen,Jhin,Nami,Nasus,Ornn,Samira,Shen,Teemo","Blitzcrank,Gwen,Jhin,Nami,Nasus,Ornn,Samira,Shen,Teemo","Item_GargoyleStoneplate,Item_SpearOfShojin,Item_WarmogsArmor,Item_LastWhisper,Item_JeweledGauntlet,Item_Deathblade,Item_InfinityEdge,Item_Redemption,Item_ThiefsGloves,Item_Morellonomicon,Item_PowerGauntlet,Item_RapidFireCannon","BlitzcrankUniqueTrait:1,ShenUniqueTrait:1,JhinUniqueTrait:1,ResistTank:1,ShieldTank:1,SpaceGroove:4,RangedTrait:1,DarkStar:1,APTrait:1,AssassinTrait:1,RangedTrait:3,ResistTank:2",Ornn,Ornn,27,2.11,92.59,48.15,173.31
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Morgana+Nunu+Rhaast+Sona,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Morgana,Nunu,Rhaast,Sona","Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Morgana,Nunu,Rhaast,Sona","Item_JeweledGauntlet,Item_FrozenHeart,Item_StatikkShiv,Item_MadredsBloodrazor,Item_GargoyleStoneplate,Item_AdaptiveHelm,Item_Morellonomicon,Item_PowerGauntlet,Item_WarmogsArmor,Item_RabadonsDeathcap,Item_SpearOfShojin,Item_NightHarvester","SonaUniqueTrait:1,BlitzcrankUniqueTrait:1,RhaastUniqueTrait:1,SpaceGroove:1,DarkStar:1,ManaTrait:1,MorganaUniqueTrait:1,ShieldTank:2,FlexTrait:1,PsyOps:1,Astronaut:1,FlexTrait:2",Bard,Nunu,46,2.13,95.65,34.78,172.99
Akali+Belveth+Briar+Jinx+Kindred+Maokai+Morgana+RekSai+Rhaast,"Akali,Belveth,Briar,Jinx,Kindred,Maokai,Morgana,RekSai,Rhaast","Akali,Belveth,Briar,Jinx,Kindred,Maokai,Morgana,RekSai,Rhaast","Item_Deathblade,Item_LastWhisper,Item_GargoyleStoneplate,Item_MadredsBloodrazor,Item_RunaansHurricane,Item_Crownguard,Item_Quicksilver,Item_RapidFireCannon,Item_WarmogsArmor,Item_SteraksGage,Item_FrozenHeart,Item_ThiefsGloves","DRX:1,HPTank:1,MeleeTrait:1,MorganaUniqueTrait:1,Primordian:2,RhaastUniqueTrait:1,ASTrait:2,ASTrait:3,AssassinTrait:1,AnimaSquad:1,TFTEvent5YR_Demacia:2,TFTEvent5YR_Heroic:1",Jinx,RekSai,41,2.17,95.12,34.15,171.03
AurelionSol+Bard+Blitzcrank+Galio+Karma+Mordekaiser+Morgana+Rhaast,"AurelionSol,Bard,Blitzcrank,Galio,Karma,Mordekaiser,Morgana,Rhaast","AurelionSol,Bard,Blitzcrank,Galio,Karma,Mordekaiser,Morgana,Rhaast","Item_GargoyleStoneplate,Item_JeweledGauntlet,Item_RabadonsDeathcap,Item_WarmogsArmor,Item_StatikkShiv,Item_MadredsBloodrazor,Item_PowerGauntlet,Item_Morellonomicon,Item_ThiefsGloves,Item_SpearOfShojin,Item_AdaptiveHelm,Item_FrozenHeart","BlitzcrankUniqueTrait:1,DarkStar:1,ManaTrait:2,MorganaUniqueTrait:1,RhaastUniqueTrait:1,ShieldTank:1,SpaceGroove:1,FlexTrait:1,Mecha:2,Mecha:1,FlexTrait:2",AurelionSol,Galio,38,2.21,94.74,34.21,169.65
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Morgana+Nunu+PVE_ElderDragon+Sona,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Morgana,Nunu,PVE_ElderDragon,Sona","Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Morgana,Nunu,PVE_ElderDragon,Sona","Item_RabadonsDeathcap,Item_JeweledGauntlet,Item_MadredsBloodrazor,Item_StatikkShiv,Item_GargoyleStoneplate,Item_SpearOfShojin,Item_Morellonomicon,Item_FrozenHeart,Item_AdaptiveHelm,Item_WarmogsArmor,Item_ThiefsGloves,Item_PowerGauntlet","BlitzcrankUniqueTrait:1,DarkStar:1,FlexTrait:1,ManaTrait:1,MorganaUniqueTrait:1,ShieldTank:2,SonaUniqueTrait:1,SpaceGroove:1",Bard,Morgana,20,2.1,95.0,30.0,168.0
Aatrox+Jax+Lulu+Maokai+Milio+Morgana+Pantheon+Rhaast+TwistedFate,"Aatrox,Jax,Lulu,Maokai,Milio,Morgana,Pantheon,Rhaast,TwistedFate","Aatrox,Jax,Lulu,Maokai,Milio,Morgana,Pantheon,Rhaast,TwistedFate","Item_Leviathan,Item_GargoyleStoneplate,Item_JeweledGauntlet,Item_SpearOfShojin,Item_WarmogsArmor,Item_FrozenHeart,Item_AdaptiveHelm,Item_StargazerEmblemItem,Item_NightHarvester,Item_Crownguard,Item_RabadonsDeathcap,Item_Morellonomicon","DRX:1,RhaastUniqueTrait:1,APTrait:1,Fateweaver:1,HPTank:1,MorganaUniqueTrait:1,ResistTank:1,Timebreaker:1,Stargazer_Medallion:1,Stargazer_Fountain:1,Stargazer_Huntress:1,Stargazer_Shield:1",Lulu,Jax,57,2.35,89.47,35.09,167.85
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+Pyke+Sona+Vex,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Pyke,Sona,Vex","Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Pyke,Sona,Vex","Item_GuinsoosRageblade,Item_JeweledGauntlet,Item_StatikkShiv,Item_RabadonsDeathcap,Item_MadredsBloodrazor,Item_ThiefsGloves,Item_FrozenHeart,Item_GargoyleStoneplate,Item_WarmogsArmor,Item_RapidFireCannon,Item_AdaptiveHelm,Item_SpearOfShojin","BlitzcrankUniqueTrait:1,DarkStar:1,ManaTrait:1,PsyOps:1,ShieldTank:2,SonaUniqueTrait:1,SpaceGroove:1,VexUniqueTrait:1,FlexTrait:2,Astronaut:1,TFTEvent5YR_Conqueror:2,TFTEvent5YR_Ixtal:1",Vex,Nunu,27,2.37,85.19,48.15,165.16
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+Morgana+Rhaast+TahmKench+Urgot,"Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,Morgana,Rhaast,TahmKench,Urgot","Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,Morgana,Rhaast,TahmKench,Urgot","Item_GuardianAngel,Item_MadredsBloodrazor,Item_LastWhisper,Item_WarmogsArmor,Item_FrozenHeart,Item_GuinsoosRageblade,Item_SteraksGage,Item_Quicksilver,Item_PsyOps_ChemicalCapacitorMod,Item_UnstableConcoction,Item_Deathblade,Item_RedBuff","DRX:1,FioraUniqueTrait:1,MeleeTrait:2,MorganaUniqueTrait:1,PsyOps:1,RhaastUniqueTrait:1,TahmKenchUniqueTrait:1,ASTrait:1,HPTank:2,HPTank:3,ASTrait:2,TFTEvent5YR_Phantom:1",MasterYi,TahmKench,30,2.43,93.33,30.0,162.17
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Riven+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Riven,Shen,TahmKench","Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Riven,Shen,TahmKench","Item_JeweledGauntlet,Item_GargoyleStoneplate,Item_Leviathan,Item_WarmogsArmor,Item_SpearOfShojin,Item_StatikkShiv,Item_AdaptiveHelm,Item_Morellonomicon,Item_SpaceGrooveEmblemItem,Item_ThiefsGloves,Item_Redemption,Item_Bloodthirster","APTrait:1,BlitzcrankUniqueTrait:1,HPTank:1,ShenUniqueTrait:1,TahmKenchUniqueTrait:1,ResistTank:1,ShieldTank:1,Timebreaker:1,AssassinTrait:1,SpaceGroove:3,SpaceGroove:4,AssassinTrait:2",Nami,Ornn,195,3.32,74.36,17.44,157.87
Bard+Galio+Gnar+Jhin+Karma+Poppy+Rammus+Rhaast,"Bard,Galio,Gnar,Jhin,Karma,Poppy,Rammus,Rhaast","Bard,Galio,Gnar,Jhin,Karma,Poppy,Rammus,Rhaast","Item_Deathblade,Item_InfinityEdge,Item_GuinsoosRageblade,Item_GargoyleStoneplate,Item_LastWhisper,Item_FrozenHeart,Item_WarmogsArmor,Item_RapidFireCannon,Item_Redemption,Item_AdaptiveHelm,Item_ThiefsGloves,Item_MadredsBloodrazor","Astronaut:2,DarkStar:1,JhinUniqueTrait:1,ResistTank:1,RhaastUniqueTrait:1,RangedTrait:1,FlexTrait:2,FlexTrait:3,RangedTrait:2,TFTEvent5YR_Crystal:1,TFTEvent5YR_Shimmerscale:2",Gnar,Rammus,35,2.69,97.14,20.0,156.39
Blitzcrank+Gwen+Morgana+Nami+Ornn+Pantheon+Riven+Shen+TahmKench,"Blitzcrank,Gwen,Morgana,Nami,Ornn,Pantheon,Riven,Shen,TahmKench","Blitzcrank,Gwen,Morgana,Nami,Ornn,Pantheon,Riven,Shen,TahmKench","Item_JeweledGauntlet,Item_GargoyleStoneplate,Item_SpaceGrooveEmblemItem,Item_WarmogsArmor,Item_Leviathan,Item_SpearOfShojin,Item_StatikkShiv,Item_Morellonomicon,Item_IonicSpark,Item_Redemption,Item_Bloodthirster,Item_RapidFireCannon","APTrait:1,BlitzcrankUniqueTrait:1,HPTank:1,MorganaUniqueTrait:1,ResistTank:1,ShenUniqueTrait:1,SpaceGroove:3,TahmKenchUniqueTrait:1,Timebreaker:1,AssassinTrait:1,ShieldTank:1,PsyOps:1",Nami,TahmKench,26,2.65,88.46,23.08,153.13
Aatrox+Blitzcrank+Jax+Jhin+Maokai+Nunu+Rhaast+TahmKench+Xayah,"Aatrox,Blitzcrank,Jax,Jhin,Maokai,Nunu,Rhaast,TahmKench,Xayah","Aatrox,Blitzcrank,Jax,Jhin,Maokai,Nunu,Rhaast,TahmKench,Xayah","Item_RunaansHurricane,Item_FrozenHeart,Item_StargazerEmblemItem,Item_WarmogsArmor,Item_RapidFireCannon,Item_InfinityEdge,Item_GargoyleStoneplate,Item_AdaptiveHelm,Item_Redemption,Item_Deathblade,Item_Crownguard,Item_MadredsBloodrazor","BlitzcrankUniqueTrait:1,DRX:1,RhaastUniqueTrait:1,SpaceGroove:1,TahmKenchUniqueTrait:1,JhinUniqueTrait:1,HPTank:1,ResistTank:1,ShieldTank:1,RangedTrait:1,Stargazer_Serpent:1,Stargazer_Wolf:1",Xayah,TahmKench,337,3.5,70.62,16.02,153.03
