comp,units,core_units,core_items,core_traits,main_carry,main_tank,games,avg_place,top4_rate,win_rate,stability_score,units_kr,core_units_kr,core_items_kr,core_traits_kr,main_carry_kr,main_tank_kr
Blitzcrank+Gwen+Nami+Ornn+Pantheon+Riven+Samira+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Ornn,Pantheon,Riven,Samira,Shen,TahmKench","Blitzcrank,Gwen,Nami,Ornn,Pantheon,Riven,Samira,Shen,TahmKench","Item_JeweledGauntlet,Item_WarmogsArmor,Item_GargoyleStoneplate,Item_Leviathan,Item_StatikkShiv,Item_SpaceGrooveEmblemItem,Item_FrozenHeart,Item_Redemption,Item_SpearOfShojin,Item_MadredsBloodrazor,Item_RabadonsDeathcap,Item_RapidFireCannon","BlitzcrankUniqueTrait:1,ShenUniqueTrait:1,TahmKenchUniqueTrait:1,APTrait:1,HPTank:1,ResistTank:1,AssassinTrait:1,Timebreaker:1,SpaceGroove:3,RangedTrait:1,ShieldTank:1,SpaceGroove:4",Nami,Ornn,22,3.14,86.36,13.64,139.21,"블리츠크랭크,그웬,나미,오른,판테온,리븐,사미라,쉔,탐 켄치","블리츠크랭크,그웬,나미,오른,판테온,리븐,사미라,쉔,탐 켄치","보석 건틀릿,워모그의 갑옷,가고일 돌갑옷,내셔의 이빨,공허의 지팡이,우주 그루브 상징,수호자의 맹세,정령의 형상,쇼진의 창,거인 학살자,라바돈의 죽음모자,붉은 덩굴정령","파티광 1,보루 1,예언자 1,복제자 1,싸움꾼 1,요새 1,불한당 1,시간 균열자 1,우주 그루브 3,저격수 1,선봉대 1,우주 그루브 4",나미,오른
Chogath+Illaoi+Jhin+Kaisa+Karma+Lissandra+Mordekaiser+Pantheon,"Chogath,Illaoi,Jhin,Kaisa,Karma,Lissandra,Mordekaiser,Pantheon","Chogath,Illaoi,Jhin,Kaisa,Karma,Lissandra,Mordekaiser,Pantheon","Item_WarmogsArmor,Item_JeweledGauntlet,Item_SpearOfShojin,Item_FrozenHeart,Item_AdaptiveHelm,Item_StatikkShiv,Item_Leviathan,Item_MadredsBloodrazor,Item_Redemption,Item_GargoyleStoneplate,Item_InfinityEdge,Item_Morellonomicon","APTrait:1,DarkStar:3,HPTank:1,JhinUniqueTrait:1,ShieldTank:1,FlexTrait:1,SpaceGroove:1,AssassinTrait:1,FlexTrait:2,TFTEvent5YR_Mountain:2,TFTEvent5YR_Preserver:1,RangedTrait:1",Chogath,Chogath,89,3.45,75.28,13.48,138.52,"초가스,일라오이,진,카이사,카르마,리산드라,모데카이저,판테온","초가스,일라오이,진,카이사,카르마,리산드라,모데카이저,판테온","워모그의 갑옷,보석 건틀릿,쇼진의 창,수호자의 맹세,적응형 투구,공허의 지팡이,내셔의 이빨,거인 학살자,정령의 형상,가고일 돌갑옷,무한의 대검,모렐로노미콘","복제자 1,암흑의 별 3,싸움꾼 1,말살자 1,선봉대 1,여행자 1,우주 그루브 1,불한당 1,여행자 2,TFTEvent5YR_Mountain 2,TFTEvent5YR_Preserver 1,저격수 1",초가스,초가스
Chogath+Ezreal+Galio+Jhin+Kaisa+Karma+Lissandra+Mordekaiser+Pantheon,"Chogath,Ezreal,Galio,Jhin,Kaisa,Karma,Lissandra,Mordekaiser,Pantheon","Chogath,Ezreal,Galio,Jhin,Kaisa,Karma,Lissandra,Mordekaiser,Pantheon","Item_Leviathan,Item_WarmogsArmor,Item_JeweledGauntlet,Item_FrozenHeart,Item_SpearOfShojin,Item_InfinityEdge,Item_GargoyleStoneplate,Item_StatikkShiv,Item_AdaptiveHelm,Item_MadredsBloodrazor,Item_Crownguard,Item_Redemption","APTrait:1,DarkStar:3,FlexTrait:1,HPTank:1,JhinUniqueTrait:1,RangedTrait:1,Timebreaker:1,ShieldTank:1,AssassinTrait:1,APTrait:2,DarkStar:4,FlexTrait:3",Chogath,Chogath,45,3.24,75.56,15.56,136.75,"초가스,이즈리얼,거대 메크 로봇,진,카이사,카르마,리산드라,모데카이저,판테온","초가스,이즈리얼,거대 메크 로봇,진,카이사,카르마,리산드라,모데카이저,판테온","내셔의 이빨,워모그의 갑옷,보석 건틀릿,수호자의 맹세,쇼진의 창,무한의 대검,가고일 돌갑옷,공허의 지팡이,적응형 투구,거인 학살자,크라운가드,정령의 형상","복제자 1,암흑의 별 3,여행자 1,싸움꾼 1,말살자 1,저격수 1,시간 균열자 1,선봉대 1,불한당 1,복제자 2,암흑의 별 4,여행자 3",초가스,초가스
Blitzcrank+Gwen+Nami+Ornn+Pantheon+Rhaast+Riven+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Ornn,Pantheon,Rhaast,Riven,Shen,TahmKench","Blitzcrank,Gwen,Nami,Ornn,Pantheon,Rhaast,Riven,Shen,TahmKench","Item_JeweledGauntlet,Item_SpaceGrooveEmblemItem,Item_WarmogsArmor,Item_GargoyleStoneplate,Item_Leviathan,Item_StatikkShiv,Item_SpearOfShojin,Item_Bloodthirster,Item_RabadonsDeathcap,Item_Morellonomicon,Item_RapidFireCannon,Item_AdaptiveHelm","APTrait:1,BlitzcrankUniqueTrait:1,HPTank:1,ResistTank:1,RhaastUniqueTrait:1,ShenUniqueTrait:1,SpaceGroove:3,TahmKenchUniqueTrait:1,AssassinTrait:1,Timebreaker:1,ShieldTank:1,Timebreaker:2",Nami,Ornn,23,3.17,73.91,21.74,136.06,"블리츠크랭크,그웬,나미,오른,판테온,라아스트,리븐,쉔,탐 켄치","블리츠크랭크,그웬,나미,오른,판테온,라아스트,리븐,쉔,탐 켄치","보석 건틀릿,우주 그루브 상징,워모그의 갑옷,가고일 돌갑옷,내셔의 이빨,공허의 지팡이,쇼진의 창,피바라기,라바돈의 죽음모자,모렐로노미콘,붉은 덩굴정령,적응형 투구","복제자 1,파티광 1,싸움꾼 1,요새 1,구원자 1,보루 1,우주 그루브 3,예언자 1,불한당 1,시간 균열자 1,선봉대 1,시간 균열자 2",나미,오른
Corki+Fizz+Galio+Milio+Poppy+Rammus+Riven+Shen,"Corki,Fizz,Galio,Milio,Poppy,Rammus,Riven,Shen","Corki,Fizz,Galio,Milio,Poppy,Rammus,Riven,Shen","Item_Deathblade,Item_LastWhisper,Item_GargoyleStoneplate,Item_WarmogsArmor,Item_Crownguard,Item_FrozenHeart,Item_ResistTankEmblemItem,Item_SteraksGage,Item_Morellonomicon,Item_InfinityEdge,Item_Bloodthirster,Item_PowerGauntlet","Fateweaver:1,ShenUniqueTrait:1,Astronaut:2,AssassinTrait:1,Timebreaker:1,FlexTrait:1,ResistTank:2,ResistTank:1,FlexTrait:2,Timebreaker:2,AssassinTrait:2,Astronaut:3",Corki,Rammus,46,3.33,76.09,15.22,135.38,"코르키,피즈,거대 메크 로봇,밀리오,뽀삐,람머스,리븐,쉔","코르키,피즈,거대 메크 로봇,밀리오,뽀삐,람머스,리븐,쉔","죽음의 검,최후의 속삭임,가고일 돌갑옷,워모그의 갑옷,크라운가드,수호자의 맹세,요새 상징,스테락의 도전,모렐로노미콘,무한의 대검,피바라기,타격대의 철퇴","운명술사 1,보루 1,정령족 2,불한당 1,시간 균열자 1,여행자 1,요새 2,요새 1,여행자 2,시간 균열자 2,불한당 2,정령족 3",코르키,람머스
AurelionSol+Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+Sona,"AurelionSol,Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Sona","AurelionSol,Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Sona","Item_JeweledGauntlet,Item_RabadonsDeathcap,Item_StatikkShiv,Item_GargoyleStoneplate,Item_FrozenHeart,Item_MadredsBloodrazor,Item_WarmogsArmor,Item_Morellonomicon,Item_AdaptiveHelm,Item_PowerGauntlet,Item_ThiefsGloves,Item_SpearOfShojin","BlitzcrankUniqueTrait:1,SonaUniqueTrait:1,SpaceGroove:1,DarkStar:1,ManaTrait:2,ShieldTank:2,FlexTrait:1,FlexTrait:2,TFTEvent5YR_Bilgewater:2,TFTEvent5YR_Ixtal:1,Stargazer_Mountain:3,Astronaut:1",AurelionSol,Nunu,128,3.77,66.41,14.84,134.75,"아우렐리온 솔,바드,블리츠크랭크,일라오이,카르마,모데카이저,누누와 윌럼프,소나","아우렐리온 솔,바드,블리츠크랭크,일라오이,카르마,모데카이저,누누와 윌럼프,소나","보석 건틀릿,라바돈의 죽음모자,공허의 지팡이,가고일 돌갑옷,수호자의 맹세,거인 학살자,워모그의 갑옷,모렐로노미콘,적응형 투구,타격대의 철퇴,도적의 장갑,쇼진의 창","파티광 1,지휘관 1,우주 그루브 1,암흑의 별 1,전달자 2,선봉대 2,여행자 1,여행자 2,TFTEvent5YR_Bilgewater 2,TFTEvent5YR_Ixtal 1,별돌보미 3,정령족 1",아우렐리온 솔,누누와 윌럼프
Akali+Belveth+Diana+Jinx+Kindred+Maokai+RekSai+Rhaast,"Akali,Belveth,Diana,Jinx,Kindred,Maokai,RekSai,Rhaast","Akali,Belveth,Diana,Jinx,Kindred,Maokai,RekSai,Rhaast","Item_RunaansHurricane,Item_Deathblade,Item_GuardianAngel,Item_MadredsBloodrazor,Item_LastWhisper,Item_RapidFireCannon,Item_WarmogsArmor,Item_Crownguard,Item_PowerGauntlet,Item_GargoyleStoneplate,Item_UnstableConcoction,Item_ThiefsGloves","DRX:1,HPTank:1,MeleeTrait:1,RhaastUniqueTrait:1,Primordian:1,ASTrait:3,ASTrait:4,Primordian:2,ADMIN:1",Jinx,RekSai,24,3.21,87.5,0.0,134.43,"아칼리,벨베스,다이애나,징크스,킨드레드,마오카이,렉사이,라아스트","아칼리,벨베스,다이애나,징크스,킨드레드,마오카이,렉사이,라아스트","크라켄의 분노,죽음의 검,밤의 끝자락,거인 학살자,최후의 속삭임,붉은 덩굴정령,워모그의 갑옷,크라운가드,타격대의 철퇴,가고일 돌갑옷,정의의 손길,도적의 장갑","N.O.V.A. 1,싸움꾼 1,습격자 1,구원자 1,태고족 1,도전자 3,도전자 4,태고족 2,중재자 1",징크스,렉사이
AurelionSol+Bard+Galio+Karma+Mordekaiser+Morgana+Nunu,"AurelionSol,Bard,Galio,Karma,Mordekaiser,Morgana,Nunu","AurelionSol,Bard,Galio,Karma,Mordekaiser,Morgana,Nunu","Item_GargoyleStoneplate,Item_JeweledGauntlet,Item_RabadonsDeathcap,Item_StatikkShiv,Item_FrozenHeart,Item_Morellonomicon,Item_WarmogsArmor,Item_SteraksGage,Item_AdaptiveHelm,Item_ThiefsGloves,Item_MadredsBloodrazor,Item_Crownguard","DarkStar:1,ManaTrait:2,MorganaUniqueTrait:1,ShieldTank:1,FlexTrait:1,Mecha:2,Mecha:1,FlexTrait:2",AurelionSol,Galio,45,3.47,75.56,20.0,133.64,"아우렐리온 솔,바드,거대 메크 로봇,카르마,모데카이저,모르가나,누누와 윌럼프","아우렐리온 솔,바드,거대 메크 로봇,카르마,모데카이저,모르가나,누누와 윌럼프","가고일 돌갑옷,보석 건틀릿,라바돈의 죽음모자,공허의 지팡이,수호자의 맹세,모렐로노미콘,워모그의 갑옷,스테락의 도전,적응형 투구,도적의 장갑,거인 학살자,크라운가드","암흑의 별 1,전달자 2,어둠의 여인 1,선봉대 1,여행자 1,메카 2,메카 1,여행자 2",아우렐리온 솔,거대 메크 로봇
Blitzcrank+Gwen+Morgana+Nami+Nasus+Ornn+Pantheon+Riven+Shen,"Blitzcrank,Gwen,Morgana,Nami,Nasus,Ornn,Pantheon,Riven,Shen","Blitzcrank,Gwen,Morgana,Nami,Nasus,Ornn,Pantheon,Riven,Shen","Item_JeweledGauntlet,Item_SpearOfShojin,Item_GargoyleStoneplate,Item_Leviathan,Item_WarmogsArmor,Item_StatikkShiv,Item_Morellonomicon,Item_SpaceGrooveEmblemItem,Item_AdaptiveHelm,Item_IonicSpark,Item_HPTankEmblemItem,Item_Bloodthirster","APTrait:1,BlitzcrankUniqueTrait:1,MorganaUniqueTrait:1,ResistTank:1,ShenUniqueTrait:1,Timebreaker:1,ShieldTank:1,AssassinTrait:1,SpaceGroove:3,HPTank:1,SpaceGroove:4,AssassinTrait:2",Nami,Morgana,24,3.25,75.0,16.67,133.6,"블리츠크랭크,그웬,모르가나,나미,나서스,오른,판테온,리븐,쉔","블리츠크랭크,그웬,모르가나,나미,나서스,오른,판테온,리븐,쉔","보석 건틀릿,쇼진의 창,가고일 돌갑옷,내셔의 이빨,워모그의 갑옷,공허의 지팡이,모렐로노미콘,우주 그루브 상징,적응형 투구,이온 충격기,싸움꾼 상징,피바라기","복제자 1,파티광 1,어둠의 여인 1,요새 1,보루 1,시간 균열자 1,선봉대 1,불한당 1,우주 그루브 3,싸움꾼 1,우주 그루브 4,불한당 2",나미,모르가나
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Riven+Samira+Shen,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Riven,Samira,Shen","Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Riven,Samira,Shen","Item_JeweledGauntlet,Item_SpaceGrooveEmblemItem,Item_GargoyleStoneplate,Item_WarmogsArmor,Item_Leviathan,Item_SpearOfShojin,Item_StatikkShiv,Item_Morellonomicon,Item_AdaptiveHelm,Item_BlueBuff,Item_HPTankEmblemItem,Item_Bloodthirster","APTrait:1,BlitzcrankUniqueTrait:1,ResistTank:1,ShenUniqueTrait:1,ShieldTank:1,Timebreaker:1,SpaceGroove:4,AssassinTrait:1,HPTank:1,AssassinTrait:2,RangedTrait:1,SpaceGroove:3",Nami,Ornn,25,3.36,80.0,16.0,133.35,"블리츠크랭크,그웬,나미,나서스,오른,판테온,리븐,사미라,쉔","블리츠크랭크,그웬,나미,나서스,오른,판테온,리븐,사미라,쉔","보석 건틀릿,우주 그루브 상징,가고일 돌갑옷,워모그의 갑옷,내셔의 이빨,쇼진의 창,공허의 지팡이,모렐로노미콘,적응형 투구,푸른 파수꾼,싸움꾼 상징,피바라기","복제자 1,파티광 1,요새 1,보루 1,선봉대 1,시간 균열자 1,우주 그루브 4,불한당 1,싸움꾼 1,불한당 2,저격수 1,우주 그루브 3",나미,오른
Bard+Karma+Lissandra+Poppy+Rammus+Sona+Veigar+Viktor,"Bard,Karma,Lissandra,Poppy,Rammus,Sona,Veigar,Viktor","Bard,Karma,Lissandra,Poppy,Rammus,Sona,Veigar,Viktor","Item_GargoyleStoneplate,Item_JeweledGauntlet,Item_StatikkShiv,Item_Leviathan,Item_SpearOfShojin,Item_WarmogsArmor,Item_RabadonsDeathcap,Item_PowerGauntlet,Item_FrozenHeart,Item_AdaptiveHelm,Item_BlueBuff,Item_Morellonomicon","APTrait:1,DarkStar:1,ManaTrait:1,PsyOps:1,ResistTank:1,SonaUniqueTrait:1,Astronaut:2,FlexTrait:1,FlexTrait:2,Astronaut:3",Veigar,Rammus,34,3.38,76.47,17.65,133.34,"바드,카르마,리산드라,뽀삐,람머스,소나,베이가,빅토르","바드,카르마,리산드라,뽀삐,람머스,소나,베이가,빅토르","가고일 돌갑옷,보석 건틀릿,공허의 지팡이,내셔의 이빨,쇼진의 창,워모그의 갑옷,라바돈의 죽음모자,타격대의 철퇴,수호자의 맹세,적응형 투구,푸른 파수꾼,모렐로노미콘","복제자 1,암흑의 별 1,전달자 1,초능력 1,요새 1,지휘관 1,정령족 2,여행자 1,여행자 2,정령족 3",베이가,람머스
Bard+Karma+Lissandra+Poppy+Rammus+Rhaast+Sona+Veigar,"Bard,Karma,Lissandra,Poppy,Rammus,Rhaast,Sona,Veigar","Bard,Karma,Lissandra,Poppy,Rammus,Rhaast,Sona,Veigar","Item_JeweledGauntlet,Item_SpearOfShojin,Item_GargoyleStoneplate,Item_StatikkShiv,Item_Leviathan,Item_WarmogsArmor,Item_RabadonsDeathcap,Item_AdaptiveHelm,Item_FrozenHeart,Item_RapidFireCannon,Item_Crownguard,Item_BlueBuff","APTrait:1,Astronaut:2,DarkStar:1,FlexTrait:1,ResistTank:1,RhaastUniqueTrait:1,SonaUniqueTrait:1,PsyOps:1",Veigar,Rammus,29,3.34,72.41,20.69,132.63,"바드,카르마,리산드라,뽀삐,람머스,라아스트,소나,베이가","바드,카르마,리산드라,뽀삐,람머스,라아스트,소나,베이가","보석 건틀릿,쇼진의 창,가고일 돌갑옷,공허의 지팡이,내셔의 이빨,워모그의 갑옷,라바돈의 죽음모자,적응형 투구,수호자의 맹세,붉은 덩굴정령,크라운가드,푸른 파수꾼","복제자 1,정령족 2,암흑의 별 1,여행자 1,요새 1,구원자 1,지휘관 1,초능력 1",베이가,람머스
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+Sona+Vex,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Sona,Vex","Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Sona,Vex","Item_GuinsoosRageblade,Item_JeweledGauntlet,Item_StatikkShiv,Item_FrozenHeart,Item_GargoyleStoneplate,Item_MadredsBloodrazor,Item_WarmogsArmor,Item_RabadonsDeathcap,Item_AdaptiveHelm,Item_ThiefsGloves,Item_Morellonomicon,Item_SpearOfShojin","BlitzcrankUniqueTrait:1,SonaUniqueTrait:1,SpaceGroove:1,VexUniqueTrait:1,ManaTrait:1,DarkStar:1,ShieldTank:2,FlexTrait:1,PsyOps:1,FlexTrait:2,Astronaut:1,ShieldTank:3",Vex,Nunu,413,4.16,57.63,8.72,132.47,"바드,블리츠크랭크,일라오이,카르마,모데카이저,누누와 윌럼프,소나,벡스","바드,블리츠크랭크,일라오이,카르마,모데카이저,누누와 윌럼프,소나,벡스","구인수의 격노검,보석 건틀릿,공허의 지팡이,수호자의 맹세,가고일 돌갑옷,거인 학살자,워모그의 갑옷,라바돈의 죽음모자,적응형 투구,도적의 장갑,모렐로노미콘,쇼진의 창","파티광 1,지휘관 1,우주 그루브 1,파멸자 1,전달자 1,암흑의 별 1,선봉대 2,여행자 1,초능력 1,여행자 2,정령족 1,선봉대 3",벡스,누누와 윌럼프
Akali+Belveth+Jinx+Kindred+Maokai+Morgana+RekSai+Rhaast,"Akali,Belveth,Jinx,Kindred,Maokai,Morgana,RekSai,Rhaast","Akali,Belveth,Jinx,Kindred,Maokai,Morgana,RekSai,Rhaast","Item_Deathblade,Item_MadredsBloodrazor,Item_LastWhisper,Item_GargoyleStoneplate,Item_RapidFireCannon,Item_RunaansHurricane,Item_Quicksilver,Item_FrozenHeart,Item_ThiefsGloves,Item_PowerGauntlet,Item_Crownguard,Item_GuardianAngel","DRX:1,HPTank:1,MeleeTrait:1,MorganaUniqueTrait:1,RhaastUniqueTrait:1,Primordian:1,ASTrait:2,ASTrait:3,Primordian:2,ASTrait:4",Jinx,RekSai,20,3.3,80.0,10.0,132.0,"아칼리,벨베스,징크스,킨드레드,마오카이,모르가나,렉사이,라아스트","아칼리,벨베스,징크스,킨드레드,마오카이,모르가나,렉사이,라아스트","죽음의 검,거인 학살자,최후의 속삭임,가고일 돌갑옷,붉은 덩굴정령,크라켄의 분노,수은,수호자의 맹세,도적의 장갑,타격대의 철퇴,크라운가드,밤의 끝자락","N.O.V.A. 1,싸움꾼 1,습격자 1,어둠의 여인 1,구원자 1,태고족 1,도전자 2,도전자 3,태고족 2,도전자 4",징크스,렉사이
Blitzcrank+Gwen+Morgana+Nami+Nasus+Ornn+Pantheon+Shen+TahmKench,"Blitzcrank,Gwen,Morgana,Nami,Nasus,Ornn,Pantheon,Shen,TahmKench","Blitzcrank,Gwen,Morgana,Nami,Nasus,Ornn,Pantheon,Shen,TahmKench","Item_JeweledGauntlet,Item_GargoyleStoneplate,Item_Leviathan,Item_WarmogsArmor,Item_SpearOfShojin,Item_StatikkShiv,Item_FrozenHeart,Item_AdaptiveHelm,Item_Morellonomicon,Item_ThiefsGloves,Item_RabadonsDeathcap,Item_MadredsBloodrazor","APTrait:1,BlitzcrankUniqueTrait:1,HPTank:1,MorganaUniqueTrait:1,ResistTank:1,ShenUniqueTrait:1,ShieldTank:1,TahmKenchUniqueTrait:1,SpaceGroove:3,SpaceGroove:4,Timebreaker:1,AssassinTrait:1",Nami,Morgana,22,3.41,81.82,13.64,131.94,"블리츠크랭크,그웬,모르가나,나미,나서스,오른,판테온,쉔,탐 켄치","블리츠크랭크,그웬,모르가나,나미,나서스,오른,판테온,쉔,탐 켄치","보석 건틀릿,가고일 돌갑옷,내셔의 이빨,워모그의 갑옷,쇼진의 창,공허의 지팡이,수호자의 맹세,적응형 투구,모렐로노미콘,도적의 장갑,라바돈의 죽음모자,거인 학살자","복제자 1,파티광 1,싸움꾼 1,어둠의 여인 1,요새 1,보루 1,선봉대 1,예언자 1,우주 그루브 3,우주 그루브 4,시간 균열자 1,불한당 1",나미,모르가나
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+Morgana+TahmKench+Urgot,"Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,Morgana,TahmKench,Urgot","Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,Morgana,TahmKench,Urgot","Item_GuardianAngel,Item_MadredsBloodrazor,Item_LastWhisper,Item_Quicksilver,Item_GuinsoosRageblade,Item_WarmogsArmor,Item_Redemption,Item_Deathblade,Item_GargoyleStoneplate,Item_UnstableConcoction,Item_SteraksGage,Item_RapidFireCannon","DRX:1,FioraUniqueTrait:1,TahmKenchUniqueTrait:1,MorganaUniqueTrait:1,PsyOps:1,MeleeTrait:2,HPTank:2,ASTrait:1,HPTank:3,ASTrait:2,Primordian:1,MeleeTrait:3",MasterYi,TahmKench,102,3.75,69.61,8.82,130.69,"벨베스,피오라,그라가스,킨드레드,마오카이,마스터 이,모르가나,탐 켄치,우르곳","벨베스,피오라,그라가스,킨드레드,마오카이,마스터 이,모르가나,탐 켄치,우르곳","밤의 끝자락,거인 학살자,최후의 속삭임,수은,구인수의 격노검,워모그의 갑옷,정령의 형상,죽음의 검,가고일 돌갑옷,정의의 손길,스테락의 도전,붉은 덩굴정령","N.O.V.A. 1,신성 결투가 1,예언자 1,어둠의 여인 1,초능력 1,습격자 2,싸움꾼 2,도전자 1,싸움꾼 3,도전자 2,태고족 1,습격자 3",마스터 이,탐 켄치
Aatrox+Jax+Jhin+Maokai+Mordekaiser+Nunu+Rhaast+TahmKench+Xayah,"Aatrox,Jax,Jhin,Maokai,Mordekaiser,Nunu,Rhaast,TahmKench,Xayah","Aatrox,Jax,Jhin,Maokai,Mordekaiser,Nunu,Rhaast,TahmKench,Xayah","Item_RunaansHurricane,Item_FrozenHeart,Item_WarmogsArmor,Item_StargazerEmblemItem,Item_RapidFireCannon,Item_InfinityEdge,Item_Deathblade,Item_GargoyleStoneplate,Item_Crownguard,Item_AdaptiveHelm,Item_Redemption,Item_NightHarvester","DRX:1,JhinUniqueTrait:1,RhaastUniqueTrait:1,TahmKenchUniqueTrait:1,DarkStar:1,HPTank:1,ResistTank:1,ShieldTank:1,RangedTrait:1,Stargazer_Serpent:1,Stargazer_Shield:1,Stargazer_Mountain:5",Xayah,TahmKench,148,3.97,61.49,10.14,130.51,"아트록스,잭스,진,마오카이,모데카이저,누누와 윌럼프,라아스트,탐 켄치,자야","아트록스,잭스,진,마오카이,모데카이저,누누와 윌럼프,라아스트,탐 켄치,자야","크라켄의 분노,수호자의 맹세,워모그의 갑옷,별돌보미 상징,붉은 덩굴정령,무한의 대검,죽음의 검,가고일 돌갑옷,크라운가드,적응형 투구,정령의 형상,굳건한 심장","N.O.V.A. 1,말살자 1,구원자 1,예언자 1,암흑의 별 1,싸움꾼 1,요새 1,선봉대 1,저격수 1,별돌보미 1,별돌보미 1,별돌보미 5",자야,탐 켄치
Aatrox+Akali+Blitzcrank+Fiora+Graves+Nunu+Rhaast+Shen+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Graves,Nunu,Rhaast,Shen,Vex","Aatrox,Akali,Blitzcrank,Fiora,Graves,Nunu,Rhaast,Shen,Vex","Item_GuinsoosRageblade,Item_ThiefsGloves,Item_FrozenHeart,Item_MadredsBloodrazor,Item_Quicksilver,Item_RapidFireCannon,Item_SteraksGage,Item_PowerGauntlet,Item_AdaptiveHelm,Item_Deathblade,Item_GuardianAngel,Item_WarmogsArmor","DRX:1,FioraUniqueTrait:1,RhaastUniqueTrait:1,ShenUniqueTrait:1,BlitzcrankUniqueTrait:1,GravesTrait:1,SpaceGroove:1,VexUniqueTrait:1,ResistTank:1,MeleeTrait:1,ShieldTank:1,MeleeTrait:2",Vex,Nunu,521,4.3,53.93,14.78,130.06,"아트록스,아칼리,블리츠크랭크,피오라,그레이브즈,누누와 윌럼프,라아스트,쉔,벡스","아트록스,아칼리,블리츠크랭크,피오라,그레이브즈,누누와 윌럼프,라아스트,쉔,벡스","구인수의 격노검,도적의 장갑,수호자의 맹세,거인 학살자,수은,붉은 덩굴정령,스테락의 도전,타격대의 철퇴,적응형 투구,죽음의 검,밤의 끝자락,워모그의 갑옷","N.O.V.A. 1,신성 결투가 1,구원자 1,보루 1,파티광 1,최신상 1,우주 그루브 1,파멸자 1,요새 1,습격자 1,선봉대 1,습격자 2",벡스,누누와 윌럼프
Corki+Fizz+Galio+Milio+Poppy+Rammus+Rhaast+Riven,"Corki,Fizz,Galio,Milio,Poppy,Rammus,Rhaast,Riven","Corki,Fizz,Galio,Milio,Poppy,Rammus,Rhaast,Riven","Item_Deathblade,Item_LastWhisper,Item_GargoyleStoneplate,Item_WarmogsArmor,Item_SteraksGage,Item_Morellonomicon,Item_Crownguard,Item_FrozenHeart,Item_MadredsBloodrazor,Item_Redemption,Item_AdaptiveHelm,Item_ThiefsGloves","Fateweaver:1,RhaastUniqueTrait:1,ResistTank:1,Astronaut:2,FlexTrait:1,Timebreaker:1,AssassinTrait:1,AssassinTrait:2,FlexTrait:2,Timebreaker:2,Astronaut:3,Timebreaker:3",Corki,Rammus,106,3.8,66.04,5.66,127.98,"코르키,피즈,거대 메크 로봇,밀리오,뽀삐,람머스,라아스트,리븐","코르키,피즈,거대 메크 로봇,밀리오,뽀삐,람머스,라아스트,리븐","죽음의 검,최후의 속삭임,가고일 돌갑옷,워모그의 갑옷,스테락의 도전,모렐로노미콘,크라운가드,수호자의 맹세,거인 학살자,정령의 형상,적응형 투구,도적의 장갑","운명술사 1,구원자 1,요새 1,정령족 2,여행자 1,시간 균열자 1,불한당 1,불한당 2,여행자 2,시간 균열자 2,정령족 3,시간 균열자 3",코르키,람머스
