trait,games,avg_place,top4_rate,win_rate
DRX:4,224,4.96,44.2,7.59
Ixtal:1,31,4.97,41.94,9.68
Coven:1,34,5.0,41.18,11.76
Elderwood:1,50,5.02,46.0,14.0
PsyOps:3,125,5.04,37.6,4.0
MechPilot:1,23,5.04,39.13,4.35
Astronaut:6,130,5.04,46.15,6.15
ADMIN:3,493,5.04,38.54,8.11
Mecha:3,263,5.05,40.68,13.69
Astronaut:7,1040,5.05,39.04,10.58
APTrait:3,30,5.07,40.0,16.67
SpaceGroove:3,305,5.09,39.34,6.56
Overlord:2,22,5.09,40.91,0.0
Preserver:1,46,5.11,36.96,6.52
Pyro:2,47,5.13,40.43,8.51
Astronaut:4,88,5.17,37.5,5.68
HPTank:3,290,5.26,35.52,7.93
Hacker:1,35,5.31,34.29,5.71
Mountain:6,352,5.31,32.39,4.26
DarkStar:4,641,5.32,33.85,6.71
Mecha:5,25,5.32,32.0,16.0
Storyweaver:1,24,5.33,33.33,4.17
AnimaSquad:6,44,5.36,34.09,18.18
MeleeTrait:3,290,5.56,29.31,4.14
AnimaSquad:4,31,5.61,38.71,3.23
HPTank:5,93,5.84,21.51,4.3
Fateweaver:3,35,5.89,14.29,5.71
Mountain:4,59,5.9,22.03,5.08
DarkStar:5,189,5.99,21.16,1.06
SpaceGroove:4,67,6.13,19.4,2.99
Mountain:5,161,6.23,19.25,6.21
AnimaSquad:3,403,6.43,18.61,5.46
Mountain:3,29,6.55,17.24,3.45
